,,,O,,G,,B,,M,,A,,Y,,AV,,P
1.TRABZONSPOR A.Ş.,,,12,,9,,3,,0,,24,,11,,13,,30
2.ATAKAŞ HATAYSPOR,,,13,,8,,2,,3,,23,,10,,13,,26
3.İTTİFAK HOLDİNG KONYASPOR,,,13,,7,,5,,1,,21,,10,,11,,26
4.AYTEMİZ ALANYASPOR,,,13,,7,,3,,3,,20,,19,,1,,24
5.VAVACARS FATİH KARAGÜMRÜK,,,13,,6,,4,,3,,21,,16,,5,,22
6.MEDİPOL BAŞAKŞEHİR FK,,,13,,7,,0,,6,,20,,16,,4,,21
7.GALATASARAY A.Ş.,,,12,,6,,3,,3,,18,,15,,3,,21
8.BEŞİKTAŞ A.Ş.,,,13,,6,,2,,5,,21,,17,,4,,20
9.FENERBAHÇE A.Ş.,,,12,,6,,2,,4,,17,,15,,2,,20
10.ADANA DEMİRSPOR A.Ş.,,,13,,5,,4,,4,,20,,18,,2,,19
11.ALTAY,,,13,,5,,1,,7,,18,,21,,-3,,16
12.GAZİANTEP FUTBOL KULÜBÜ A.Ş.,,,12,,4,,3,,5,,14,,16,,-2,,15
13.YUKATEL KAYSERİSPOR,,,12,,4,,3,,5,,17,,20,,-3,,15
14.FRAPORT TAV ANTALYASPOR,,,13,,4,,3,,6,,15,,20,,-5,,15
15.DEMİR GRUP SİVASSPOR,,,13,,2,,7,,4,,16,,15,,1,,13
16.GZT GİRESUNSPOR,,,13,,3,,4,,6,,8,,12,,-4,,13
17.ÖZNUR KABLO YENİ MALATYASPOR,,,13,,4,,0,,9,,12,,23,,-11,,12
18.GÖZTEPE A.Ş.,,,12,,2,,3,,7,,11,,18,,-7,,9
19.KASIMPAŞA A.Ş.,,,13,,2,,3,,8,,13,,21,,-8,,9
20.ÇAYKUR RİZESPOR A.Ş.,,,13,,2,,1,,10,,11,,27,,-16,,7
